,titleleft,authors,isbn13left,synopsis
228,WOLVERINE: OLD MAN LOGAN,['Mark Millar'],9780785131595,"<p><p>mark Millar And Steve Mcniven - Who Last Teamed For The Monumental Civil War - Bring Us The Most Important Wolverine Story Of The 21st Century. Nobody Knows What Happened On The Night The Heroes Fell. All We Know Is That They Disappeared And Evil Triumphed And The Bad Guys Have Been Calling The Shots Ever Since. What Happened To Wolverine Is The Biggest Mystery Of All. For 50 Years, No One Has Heard Hide Nor Hair From Him... And In His Place Stands An Old Man Called Logan. A Man Concerned Only About His Family. A Man Pushed To The Brink By The Hulk Gang. A Man Forced To Help An Old Friend - The Blind Archer, Hawkeye - To Drive Three Thousand Miles To Secure His Family's Safety. Get Ready For The Ride Of Your Life, Logan!<p>collects Wolverine #66-72, And Wolverine Giant-size Old Man Logan.</p>"
229,COMMITTED,"['Gilbert, Elizabeth']",9780670021659,"Picking Up Where Her Bestselling Memoir Eat, Pray, Love Left Off, Gilbert Details The Extraordinary Circumstances That Surround Her Love With Felipe, The Man She Swore Never To Marry. Marriage And Surprises -- Marriage And Expectation -- Marriage And History -- Marriage And Infatuation -- Marriage And Women -- Marriage And Autonomy -- Marriage And Subversion -- Marriage And Ceremony. Elizabeth Gilbert."
230,HAVE A LITTLE FAITH,"['Albom, Mitch']",9780786868728,"<p>What if our beliefs were not what divided us, but what pulled us together?<p> In <i>Have a Little Faith</i>, Mitch Albom offers a beautifully written story of a remarkable eight year journey between two worlds - two men, two faiths, two communities - that will inspire readers everywhere. <p> Albom's first nonfiction book since <i>Tuesdays with Morrie</i> was published twelve years ago, <i>Have A Little Faith</i> begins with an unusual request: an 82-year-old rabbi from Albom's old hometown asks him to deliver his eulogy. <p> Feeling unworthy, Albom insists on understanding the man better, which throws him back into a world of faith he'd left years ago. Meanwhile, closer to his current home, Albom becomes involved with a Detroit pastor - a reformed drug dealer and convict - who preaches to the poor and homeless in a decaying church with a hole in its roof. <p> Moving between their worlds, Christian and Jewish, African-American and white, impoverished and well-to-do, Mitch observes how these very different men employ faith similarly in fighting for survival: the older, suburban rabbi, embracing it as death approaches; the younger, inner-city pastor relying on it to keep himself and his church afloat. <p> As America struggles with hard times and people turn more to their beliefs, Mitch and the two men of God explore issues that perplex modern man: how to endure when difficult things happen; what heaven is; intermarriage; forgiveness; doubting God; and the importance of faith in trying times. Although the texts, prayers and histories are different, Albom begins to realize a striking unity between the two worlds - and indeed, between beliefs everywhere. <p> In the end, as the rabbi nears death and a harsh winter threatens the pastor's wobbly church, Albom sadly fulfills the last request and writes the eulogy. And he finally understands what both men had been teaching all along: the profound comfort of believing in something bigger than yourself. <p> <i>Have a Little Faith</i> is a book about a life's purpose; about losing belief and finding it again; about the divine spark inside us all. It is one man's journey, but it is everyone's story.</p> <h3>Publishers Weekly</h3> <p>Starred Review. <P>Albom delivers a command audio performance. He brings his two clergymen-protagonists-an elderly rabbi from Albom's home synagogue and an African-American pastor leading a ministry to Detroit's homeless population-to vivid life and conveys their messages of faith with sensitivity and respect. The audio's most memorable moments feature the humility-and eccentricity-of the two spiritual leaders who, despite their deep religious commitment, refuse to be placed on a pedestal. From the ail-ing Jewish leader breaking out into whimsical songs in the middle of his grueling medical treatments and his Christian counterpart savoring the joys of barbecuing, Albom's characterizations brim with humor and compassion. A Hyperion hardcover. <BR>Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.</p>"
231,THE CHECKLIST MANIFESTO,"['Gawande, Atul']",9780805091748,"<p><P><i>The New York Times</i> bestselling author of <i>Better</i> and <i>Complications</i> reveals the surprising power of the ordinary checklist.</p> <h3>The Washington Post - Sarah Halzack</h3> <p>Even skeptical readers will find the evidence staggering. Gawande found a host of studies that show dramatic drops in death or infection from a certain procedure once a hospital implemented a checklist for doing it right. Marshaling anecdotes and analysis, he implores the medical community to use checklists more widely&#8230;Thoughtfully written and soundly defended, this book calls for medical professionals to improve patient care by adopting a basic, common-sense approach.</p>"
232,GOING ROGUE,"['Palin, Sarah']",9780061939891,"Sarah Palin, The First Female Republican Vice Presidential Candidate, Recounts Her Political Experiences, Her Rapid Rise On The National Stage During The 2008 Campaign, And The Personal Challenges She's Faced Including Balancing Her Time As A Working Mother, Recognizing The War's Impact With Her Son Serving Combat In Iraq, Having A Child With A Disability, And Supporting Her Teenage Daughter With An Unplanned Pregnancy. Sarah Palin."
233,STONES INTO SCHOOLS,['Greg Mortenson'],9780670021154,"<p class=""null1"">From the author of the #1 bestseller <i>Three Cups of Tea</i>, the continuing story of this determined humanitarian’s efforts to promote peace through education</p>
<p>In this dramatic first-person narrative, Greg Mortenson picks up where <i>Three Cups of Tea</i> left off in 2003, recounting his relentless, ongoing efforts to establish schools for girls in Afghanistan; his extensive work in Azad Kashmir and Pakistan after a massive earthquake hit the region in 2005; and the unique ways he has built relationships with Islamic clerics, militia commanders, and tribal leaders. He shares for the first time his broader vision to promote peace through education and literacy, as well as touching on military matters, Islam, and women—all woven together with the many rich personal stories of the people who have been involved in this remarkable two-decade humanitarian effort.</p>
<p>Since the 2006 publication of <i>Three Cups of Tea</i>, Mortenson has traveled across the U.S. and the world to share his vision with hundreds of thousands of people. He has met with heads of state, top military officials, and leading politicians who all seek his advice and insight. The continued phenomenal success of <i>Three Cups of Tea</i> proves that there is an eager and committed audience for Mortenson’s work and message.</p>"
234,"THE YU-GI-OH! GX 4, VOL. 4","['Kageyama, Naoyuki']",9781421531731,"<p><p>limited Edition Card Included (limited Quantities Available While Supplies Last, First Printing Only).<p>yu-gi-oh! Gx The Next Generation Of Duelist Has Arrived! Jaden Yuki&#58; The Next Generation Of Yu-gi-oh! Champion Has Arrived. He's Going To Be The Best Player Ever. If He Can Just Get Out The Worst Dorm In History!<p>reads R To L (japanese Style). <p><b><p>the Semifinals Begin!</b> The Duel Academy Tournament Has Reached The Semifinal Round, With The Winner Getting A Chance To Take On Duel Champion Zane Kaiser Truesdale. Jaden And Bastion Go Head To Head In An All-out Match, Followed By Chazz Taking On The Mysterious David Rabb. The Winners Of These Two Matches Will Face Off In The Final Round Of The Tournament! But Will David Rabb's Evil Master Plan Ruin Everything? Years After Yugi's Legendary Battles, The Game Is So Popular That Special Institutions Dedicated To The Art Of The Duel Have Sprung Up All Over The World. Join Jaden Yuki And His Pals At The Academy For The Adventures Of The Next Generation Of <b><i>yu-gi-oh!</i></b></p>"
235,"VAMPIRE KNIGHT, VOL. 8","['Hino, Matsuri']",9781421530734,"<p>R to L (Japanese Style).</p>
<p>Meet your knights in shining darkness.</p>
<p>Cross Adademy is attended by two groups of students: the Day Class and the Night Class. At twilight, when the students of the Day Class return to their dorm, they cross paths with the Night Class on their way to school. Yuki Cross and Zero Kiryu are the Guardians of the school, protecting the Day Class from the Academy's dark secret: the Night Class is full of vampires!</p>
<p>After trying to recall her past, Yuki's hallucinations become more vivid and she tries to strangle Zero during a fit of madness. Locked in her room, all she can see is a world dyed in blood, but Kaname comes for her. He tells her it's time to wake up and sinks his fangs into her neck…</p>"
236,NARUTO 46,"['Kishimoto, Masashi']",9781421533049,"<p>Naruto is a young shinobi with an incorrigible knack for mischief. He’s got a wild sense of humor, but Naruto is completely serious about his mission to be the world’s greatest ninja! R to L (Japanese Style). N/A Naruto is a ninja-in-training with a need for attention, a knack for mischief and, sealed within him, a strange, formidable power. His antics amuse his instructor Kakashi and irritate his teammates, intense Sasuke and witty Sakura, but Naruto is serious about becoming the greatest ninja in the village of Konohagakure!</p>"
237,"MAXIMUM RIDE, VOL. 2","['Patterson, James']",9780759529687,"<p><P>Having recovered Angel, Max and the flock head to New York City to pursue a lead regarding their true identities. But where the flock goes, erasers are sure to follow! Even more troubling, though, is the voice that's begun whispering in Max's head. Is it really her destiny to save the world?</p>"
238,"VAMPIRE KNIGHT, VOL. 7","['Hino, Matsuri']",9781421526768,"<p><P>R to L (Japanese Style). Yuki debates asking Kaname about her past, suspecting that he may have been the one who erased her childhood memories. Zero confronts Kaname to find out the truth, and the two come to blows over Yuki...</p>"
239,THE DEVIL’S PUNCHBOWL,"['Iles, Greg']",9781416524557,"<p><P>From <i>New York Times</i> bestselling author Greg Iles comes his most electrifying thriller yet. <i>The Devil's Punchbowl</i> reveals a world of depravity, sex, violence, and the corruption of a Southern town. <P> As a prosecuting attorney in Houston, Penn Cage sent hardened killers to death row. But it is as mayor of his hometown &#151; Natchez, Mississippi &#151; that Penn will face his most dangerous threat. Urged by old friends to try to restore this fading jewel of the Old South, Penn has ridden into office on a tide of support for change. But in its quest for new jobs and fresh money, Natchez, like other Mississippi towns, has turned to casino gambling, and now five fantastical steamboats float on the river beside the old slave market at Natchez like props from <i>Gone With the Wind</i>. <P> But one boat isn't like the others. <P> Rumor has it that the Magnolia Queen has found a way to pull the big players from Las Vegas to its Mississippi backwater. And with them &#151; on sleek private jets that slip in and out of town like whispers in the night &#151; come pro football players, rap stars, and international gamblers, all sharing an unquenchable taste for one thing&#58; blood sport &#151; and the dark vices that go with it. When a childhood friend of Penn's who brings him evidence of these crimes is brutally murdered, the full weight of Penn's failure to protect his city hits home. So begins his quest to find the men responsible. But it's a hunt he begins alone, for the local authorities have been corrupted by the money and power of his hidden enemy. With his family's lives at stake, Penn realizes his only allies in his one-man war are those bound to him by blood or honor&#58; <blockquote> <li>Caitlin Masters, the lover Penn found in <i>The Quiet Can Game</i> and lost in <i>Turning Angel</i></li> <li>Danny McDavitt, the heroic helicopter pilot from <i>Third Degree</i></li> <li>Tom Cage, Penn's father and legendary local family physician</li> <li>Walt Garrity, a retired Texas Ranger who served with Penn's father during the Korean War</li> </blockquote> <P> Together they must defeat a sophisticated killer who has an almost preternatural ability to anticipate &#151; and counter &#151; their every move. Ultimately, victory will depend on a bold stroke that will leave one of Penn's allies dead &#151; and Natchez changed forever. <P> After appearing in two of Iles's most popular novels, Penn Cage makes his triumphant return as a brilliant, honorable, and courageous hero. Rich with Southern atmosphere and marked by one jaw-dropping plot turn after another, <i>The Devil's Punchbowl</i> confirms that Greg Iles is America's master of suspense.</p><h3>Publishers Weekly</h3><p>Iles's third addition to the Penn Cage saga is an effective thriller that would have been even more satisfying at half its length. There is a lot of story to cover, with Cage now mayor of Natchez, Miss., battling to save his hometown, his family and his true love from the evil clutches of a pair of homicidal casino operators who are being protected by a homeland security bigwig. Dick Hill handles the large cast of characters effortlessly, adopting Southern accents that range from aristocratic (Cage and his elderly father) to redneck (assorted Natchez townsfolk). He provides the bad guys with their vocal flair, including an icy arrogance for the homeland security honcho, a soft Asian-tempered English for the daughter of an international villain and the rough Irish brogue of the two main antagonists. One of the latter pretends to be an upper-class Englishman and, in a moment of revelation, Hill does a smashing job of switching accents mid-sentence. A Scribner hardcover (Reviews, May 25). (July)</p>"
